Year-Quarter,State,Year,Month,TelehealthType,ServiceCount,RatePer1000Beneficiaries
2021-3,Alabama,2021,9,Live audio/video," 43,067 ",32.5
2021-4,Alabama,2021,10,Live audio/video," 36,946 ",27.7
2021-4,Alabama,2021,11,Live audio/video," 34,802 ",26.0
2021-4,Alabama,2021,12,Live audio/video," 32,553 ",24.2
2022-1,Alabama,2022,1,Live audio/video," 46,420 ",34.1
2022-1,Alabama,2022,2,Live audio/video," 36,332 ",26.6
2022-1,Alabama,2022,3,Live audio/video," 35,056 ",25.5
2022-2,Alabama,2022,4,Live audio/video," 29,497 ",21.4
2022-2,Alabama,2022,5,Live audio/video," 29,362 ",21.2
2022-2,Alabama,2022,6,Live audio/video," 29,523 ",21.2
2022-3,Alabama,2022,7,Live audio/video," 27,681 ",19.8
2022-3,Alabama,2022,8,Live audio/video," 30,609 ",21.7
2022-3,Alabama,2022,9,Live audio/video," 25,836 ",18.3
2022-4,Alabama,2022,10,Live audio/video," 24,654 ",17.4
2022-4,Alabama,2022,11,Live audio/video," 23,313 ",16.3
2022-4,Alabama,2022,12,Live audio/video," 20,140 ",14.0
2018-1,Alaska,2018,1,Live audio/video, 907 ,4.3
2018-1,Alaska,2018,1,Store and forward, 459 ,2.2
2018-1,Alaska,2018,2,Live audio/video, 858 ,4.0
2018-1,Alaska,2018,2,Store and forward, 406 ,1.9
2018-1,Alaska,2018,3,Live audio/video," 1,039 ",4.8
2018-1,Alaska,2018,3,Store and forward, 433 ,2.0
2018-2,Alaska,2018,4,Live audio/video, 977 ,4.5
2018-2,Alaska,2018,4,Store and forward, 378 ,1.8
2018-2,Alaska,2018,5,Live audio/video," 1,260 ",5.8
2018-2,Alaska,2018,5,Store and forward, 440 ,2.0
2018-2,Alaska,2018,6,Live audio/video," 1,015 ",4.6
2018-2,Alaska,2018,6,Store and forward, 389 ,1.8
2018-3,Alaska,2018,7,Live audio/video," 1,065 ",4.9
2018-3,Alaska,2018,7,Store and forward, 415 ,1.9
2018-3,Alaska,2018,8,Live audio/video," 1,177 ",5.3
2018-3,Alaska,2018,8,Store and forward, 445 ,2.0
2018-3,Alaska,2018,9,Live audio/video," 1,037 ",4.7
2018-3,Alaska,2018,9,Store and forward, 344 ,1.6
2018-4,Alaska,2018,10,Live audio/video," 1,248 ",5.6
2018-4,Alaska,2018,10,Store and forward, 551 ,2.5
2018-4,Alaska,2018,11,Live audio/video," 1,121 ",5.0
2018-4,Alaska,2018,11,Store and forward, 347 ,1.6
2018-4,Alaska,2018,12,Live audio/video," 1,098 ",4.9
2018-4,Alaska,2018,12,Store and forward, 361 ,1.6
2019-1,Alaska,2019,1,Live audio/video," 1,168 ",5.2
2019-1,Alaska,2019,1,Store and forward, 489 ,2.2
2019-1,Alaska,2019,2,Live audio/video," 1,119 ",5.0
2019-1,Alaska,2019,2,Store and forward, 430 ,1.9
2019-1,Alaska,2019,3,Live audio/video," 1,264 ",5.6
2019-1,Alaska,2019,3,Store and forward, 477 ,2.1
2019-2,Alaska,2019,4,Live audio/video," 1,425 ",6.3
2019-2,Alaska,2019,4,Store and forward, 539 ,2.4
2019-2,Alaska,2019,5,Live audio/video," 1,538 ",6.8
2019-2,Alaska,2019,5,Store and forward, 589 ,2.6
2019-2,Alaska,2019,6,Live audio/video," 1,196 ",5.3
2019-2,Alaska,2019,6,Store and forward, 542 ,2.4
2019-3,Alaska,2019,7,Live audio/video," 1,541 ",6.8
2019-3,Alaska,2019,7,Store and forward, 628 ,2.8
2019-3,Alaska,2019,8,Live audio/video," 1,525 ",6.7
2019-3,Alaska,2019,8,Store and forward, 508 ,2.2
2019-3,Alaska,2019,9,Live audio/video," 1,522 ",6.6
2019-3,Alaska,2019,9,Store and forward, 500 ,2.2
2019-4,Alaska,2019,10,Live audio/video," 1,660 ",7.2
2019-4,Alaska,2019,10,Store and forward, 583 ,2.5
2019-4,Alaska,2019,11,Live audio/video," 1,488 ",6.5
2019-4,Alaska,2019,11,Store and forward, 438 ,1.9
2019-4,Alaska,2019,12,Live audio/video," 1,524 ",6.6
2019-4,Alaska,2019,12,Store and forward, 448 ,1.9
2020-1,Alaska,2020,1,Live audio/video," 1,855 ",8.0
2020-1,Alaska,2020,1,Store and forward, 553 ,2.4
2020-1,Alaska,2020,2,Live audio/video," 1,715 ",7.4
2020-1,Alaska,2020,2,Store and forward, 535 ,2.3
2020-1,Alaska,2020,3,Live audio/video," 11,784 ",50.5
2020-1,Alaska,2020,3,Store and forward, 514 ,2.2
2020-2,Alaska,2020,4,Live audio/video," 45,504 ",194.0
2020-2,Alaska,2020,4,Other telehealth, 156 ,0.7
2020-2,Alaska,2020,4,Store and forward, 334 ,1.4
2020-2,Alaska,2020,5,Live audio/video," 36,962 ",157.0
2020-2,Alaska,2020,5,Store and forward, 349 ,1.5
2020-2,Alaska,2020,6,Live audio/video," 31,799 ",134.3
2020-2,Alaska,2020,6,Store and forward, 301 ,1.3
2020-3,Alaska,2020,7,Live audio/video," 29,816 ",125.6
2020-3,Alaska,2020,7,Store and forward, 309 ,1.3
2020-3,Alaska,2020,8,Live audio/video," 29,099 ",121.6
2020-3,Alaska,2020,8,Store and forward, 358 ,1.5
2020-3,Alaska,2020,9,Live audio/video," 31,019 ",129.0
2020-3,Alaska,2020,9,Store and forward, 306 ,1.3
2020-4,Alaska,2020,10,Live audio/video," 33,953 ",140.2
2020-4,Alaska,2020,10,Store and forward, 289 ,1.2
2020-4,Alaska,2020,11,Live audio/video," 33,922 ",139.0
2020-4,Alaska,2020,11,Store and forward, 162 ,0.7
2020-4,Alaska,2020,12,Live audio/video," 37,183 ",150.8
2020-4,Alaska,2020,12,Store and forward, 259 ,1.1
2021-1,Alaska,2021,1,Live audio/video," 34,707 ",140.2
2021-1,Alaska,2021,1,Store and forward, 210 ,0.8
2021-1,Alaska,2021,2,Live audio/video," 32,131 ",129.0
2021-1,Alaska,2021,2,Store and forward, 172 ,0.7
2021-1,Alaska,2021,3,Live audio/video," 32,585 ",130.0
2021-1,Alaska,2021,3,Store and forward, 238 ,0.9
2021-2,Alaska,2021,4,Live audio/video," 28,568 ",113.3
2021-2,Alaska,2021,4,Store and forward, 213 ,0.8
2021-2,Alaska,2021,5,Live audio/video," 23,246 ",91.9
2021-2,Alaska,2021,5,Store and forward, 186 ,0.7
2021-2,Alaska,2021,6,Live audio/video," 21,248 ",83.6
2021-3,Alaska,2021,7,Live audio/video," 19,048 ",74.7
2021-3,Alaska,2021,8,Live audio/video," 21,142 ",82.6
2021-3,Alaska,2021,8,Store and forward, 125 ,0.5
2021-3,Alaska,2021,9,Live audio/video," 23,301 ",90.8
2021-3,Alaska,2021,9,Store and forward, 178 ,0.7
2021-4,Alaska,2021,10,Live audio/video," 23,127 ",89.7
2021-4,Alaska,2021,10,Store and forward, 191 ,0.7
2021-4,Alaska,2021,11,Live audio/video," 21,803 ",84.2
2021-4,Alaska,2021,11,Store and forward, 290 ,1.1
2021-4,Alaska,2021,12,Live audio/video," 20,199 ",77.6
2021-4,Alaska,2021,12,Store and forward, 211 ,0.8
2022-1,Alaska,2022,1,Live audio/video," 23,884 ",91.3
2022-1,Alaska,2022,1,Store and forward, 170 ,0.6
2022-1,Alaska,2022,2,Live audio/video," 22,563 ",86.0
2022-1,Alaska,2022,2,Store and forward, 130 ,0.5
2022-1,Alaska,2022,3,Live audio/video," 24,074 ",91.5
2022-1,Alaska,2022,3,Store and forward, 180 ,0.7
2022-2,Alaska,2022,4,Live audio/video," 18,965 ",71.9
2022-2,Alaska,2022,4,Store and forward, 218 ,0.8
2022-2,Alaska,2022,5,Live audio/video," 17,448 ",66.0
2022-2,Alaska,2022,5,Store and forward, 238 ,0.9
2022-2,Alaska,2022,6,Live audio/video," 16,340 ",61.6
2022-2,Alaska,2022,6,Store and forward, 262 ,1.0
2022-3,Alaska,2022,7,Live audio/video," 14,352 ",54.0
2022-3,Alaska,2022,7,Store and forward, 176 ,0.7
2022-3,Alaska,2022,8,Live audio/video," 16,714 ",62.7
2022-3,Alaska,2022,8,Store and forward, 153 ,0.6
2022-3,Alaska,2022,9,Live audio/video," 15,550 ",58.2
2022-3,Alaska,2022,9,Store and forward, 183 ,0.7
2022-4,Alaska,2022,10,Live audio/video," 15,243 ",56.9
2022-4,Alaska,2022,10,Store and forward, 245 ,0.9
2022-4,Alaska,2022,11,Live audio/video," 15,400 ",57.3
2022-4,Alaska,2022,11,Store and forward, 277 ,1.0
2022-4,Alaska,2022,12,Live audio/video," 15,363 ",57.0
2022-4,Alaska,2022,12,Store and forward, 270 ,1.0
2018-1,Arizona,2018,1,Live audio/video," 54,545 ",27.6
2018-1,Arizona,2018,2,Live audio/video," 48,764 ",25.0
2018-1,Arizona,2018,3,Live audio/video," 56,420 ",29.0
2018-2,Arizona,2018,4,Live audio/video," 58,412 ",30.1
2018-2,Arizona,2018,5,Live audio/video," 68,145 ",35.1
2018-2,Arizona,2018,6,Live audio/video," 64,966 ",33.5
2018-3,Arizona,2018,7,Live audio/video," 73,439 ",37.8
2018-3,Arizona,2018,8,Live audio/video," 85,344 ",43.8
2018-3,Arizona,2018,9,Live audio/video," 72,327 ",37.2
2018-4,Arizona,2018,10,Live audio/video," 91,044 ",46.8
2018-4,Arizona,2018,11,Live audio/video," 86,327 ",44.5
2018-4,Arizona,2018,12,Live audio/video," 83,033 ",42.8
2019-1,Arizona,2019,1,Live audio/video," 103,038 ",53.0
2019-1,Arizona,2019,2,Live audio/video," 96,063 ",49.4
2019-1,Arizona,2019,3,Live audio/video," 105,382 ",54.2
2019-2,Arizona,2019,4,Live audio/video," 115,128 ",59.2
2019-2,Arizona,2019,5,Live audio/video," 116,701 ",60.0
2019-2,Arizona,2019,6,Live audio/video," 105,439 ",54.3
2019-3,Arizona,2019,7,Live audio/video," 117,296 ",60.1
2019-3,Arizona,2019,8,Live audio/video," 118,720 ",60.5
2019-3,Arizona,2019,9,Live audio/video," 102,712 ",52.4
2019-4,Arizona,2019,10,Live audio/video," 124,253 ",63.3
2019-4,Arizona,2019,11,Live audio/video," 110,880 ",56.7
2019-4,Arizona,2019,12,Live audio/video," 112,139 ",57.5
2020-1,Arizona,2020,1,Live audio/video," 125,882 ",64.7
2020-1,Arizona,2020,2,Live audio/video," 117,830 ",60.7
2020-1,Arizona,2020,3,Live audio/video," 245,776 ",126.4
2020-2,Arizona,2020,4,Live audio/video," 563,053 ",283.9
2020-2,Arizona,2020,4,Store and forward," 1,832 ",0.9
2020-2,Arizona,2020,5,Live audio/video," 502,918 ",250.2
2020-2,Arizona,2020,5,Store and forward," 1,010 ",0.5
2020-2,Arizona,2020,6,Live audio/video," 494,662 ",242.9
2020-3,Arizona,2020,7,Live audio/video," 512,592 ",248.9
2020-3,Arizona,2020,8,Live audio/video," 525,189 ",252.0
2020-3,Arizona,2020,9,Live audio/video," 519,324 ",246.7
2020-4,Arizona,2020,10,Live audio/video," 501,068 ",235.8
2020-4,Arizona,2020,11,Live audio/video," 456,691 ",213.0
2020-4,Arizona,2020,11,Remote patient monitoring, 991 ,0.5
2020-4,Arizona,2020,12,Live audio/video," 515,055 ",237.9
2020-4,Arizona,2020,12,Remote patient monitoring," 1,164 ",0.5
2021-1,Arizona,2021,1,Live audio/video," 516,991 ",236.8
2021-1,Arizona,2021,1,Remote patient monitoring," 1,314 ",0.6
2021-1,Arizona,2021,2,Live audio/video," 493,841 ",224.6
2021-1,Arizona,2021,2,Remote patient monitoring," 1,139 ",0.5
2021-1,Arizona,2021,3,Live audio/video," 524,837 ",236.7
2021-1,Arizona,2021,3,Remote patient monitoring," 1,430 ",0.6
2021-2,Arizona,2021,4,Live audio/video," 470,152 ",210.7
2021-2,Arizona,2021,4,Remote patient monitoring," 1,512 ",0.7
2021-2,Arizona,2021,5,Live audio/video," 421,497 ",187.6
2021-2,Arizona,2021,5,Remote patient monitoring," 1,552 ",0.7
2021-2,Arizona,2021,6,Live audio/video," 429,070 ",189.5
2021-2,Arizona,2021,6,Remote patient monitoring," 1,645 ",0.7
2021-3,Arizona,2021,7,Live audio/video," 390,428 ",171.2
2021-3,Arizona,2021,7,Remote patient monitoring," 1,601 ",0.7
2021-3,Arizona,2021,8,Live audio/video," 421,909 ",183.7
2021-3,Arizona,2021,8,Remote patient monitoring," 1,611 ",0.7
2021-3,Arizona,2021,9,Live audio/video," 404,177 ",174.7
2021-3,Arizona,2021,9,Remote patient monitoring," 1,569 ",0.7
2021-4,Arizona,2021,10,Live audio/video," 379,969 ",163.2
2021-4,Arizona,2021,10,Remote patient monitoring," 1,707 ",0.7
2021-4,Arizona,2021,11,Live audio/video," 372,771 ",159.3
2021-4,Arizona,2021,11,Remote patient monitoring," 1,811 ",0.8
2021-4,Arizona,2021,12,Live audio/video," 369,407 ",156.8
2021-4,Arizona,2021,12,Remote patient monitoring," 1,823 ",0.8
2022-1,Arizona,2022,1,Live audio/video," 321,886 ",135.9
2022-1,Arizona,2022,1,Remote patient monitoring," 1,341 ",0.6
2022-1,Arizona,2022,2,Live audio/video," 259,463 ",108.9
2022-1,Arizona,2022,2,Remote patient monitoring," 1,230 ",0.5
2022-1,Arizona,2022,3,Live audio/video," 245,491 ",102.3
2022-1,Arizona,2022,3,Remote patient monitoring," 1,476 ",0.6
2022-2,Arizona,2022,4,Live audio/video," 215,678 ",89.5
2022-2,Arizona,2022,4,Remote patient monitoring," 1,631 ",0.7
2022-2,Arizona,2022,5,Live audio/video," 210,179 ",86.7
2022-2,Arizona,2022,5,Remote patient monitoring," 1,398 ",0.6
2022-2,Arizona,2022,6,Live audio/video," 213,563 ",87.6
2022-2,Arizona,2022,6,Remote patient monitoring," 1,515 ",0.6
2022-3,Arizona,2022,7,Live audio/video," 190,354 ",77.7
2022-3,Arizona,2022,7,Remote patient monitoring," 1,475 ",0.6
2022-3,Arizona,2022,8,Live audio/video," 225,834 ",91.5
2022-3,Arizona,2022,8,Remote patient monitoring," 1,402 ",0.6
2022-3,Arizona,2022,9,Live audio/video," 203,069 ",81.8
2022-3,Arizona,2022,9,Remote patient monitoring," 1,737 ",0.7
2022-4,Arizona,2022,10,Live audio/video," 196,577 ",78.7
2022-4,Arizona,2022,10,Remote patient monitoring," 1,935 ",0.8
2022-4,Arizona,2022,11,Live audio/video," 203,056 ",81.0
2022-4,Arizona,2022,11,Remote patient monitoring," 1,966 ",0.8
2022-4,Arizona,2022,12,Live audio/video," 198,510 ",78.7
2022-4,Arizona,2022,12,Remote patient monitoring," 2,017 ",0.8
2018-1,California,2018,1,Live audio/video," 29,022 ",2.0
2018-1,California,2018,2,Live audio/video," 26,197 ",1.8
2018-1,California,2018,3,Live audio/video," 28,593 ",2.0
2018-2,California,2018,4,Live audio/video," 28,040 ",1.9
2018-2,California,2018,5,Live audio/video," 29,944 ",2.1
2018-2,California,2018,6,Live audio/video," 24,972 ",1.7
2018-3,California,2018,7,Live audio/video," 24,080 ",1.7
2018-3,California,2018,8,Live audio/video," 28,066 ",2.0
2018-3,California,2018,9,Live audio/video," 28,549 ",2.0
2018-4,California,2018,10,Live audio/video," 34,336 ",2.4
2018-4,California,2018,11,Live audio/video," 31,367 ",2.2
2018-4,California,2018,12,Live audio/video," 29,953 ",2.1
2019-1,California,2019,1,Live audio/video," 38,829 ",2.8
2019-1,California,2019,2,Live audio/video," 35,668 ",2.5
2019-1,California,2019,3,Live audio/video," 39,147 ",2.8
2019-2,California,2019,4,Live audio/video," 39,630 ",2.8
2019-2,California,2019,5,Live audio/video," 39,444 ",2.8
2019-2,California,2019,6,Live audio/video," 30,164 ",2.2
2019-3,California,2019,7,Live audio/video," 34,525 ",2.5
2019-3,California,2019,8,Live audio/video," 44,892 ",3.2
2019-3,California,2019,9,Live audio/video," 46,351 ",3.4
2019-4,California,2019,10,Live audio/video," 51,814 ",3.8
2019-4,California,2019,11,Live audio/video," 46,415 ",3.4
2019-4,California,2019,12,Live audio/video," 46,721 ",3.4
2020-1,California,2020,1,Live audio/video," 67,781 ",5.0
2020-1,California,2020,2,Live audio/video," 72,087 ",5.3
2020-1,California,2020,3,Live audio/video," 510,425 ",37.9
2020-1,California,2020,3,Other telehealth," 11,248 ",0.8
2020-1,California,2020,3,Store and forward," 6,822 ",0.5
2020-2,California,2020,4,Live audio/video," 1,628,154 ",120.4
2020-2,California,2020,4,Other telehealth," 27,882 ",2.1
2020-2,California,2020,4,Store and forward," 11,627 ",0.9
2020-2,California,2020,5,Live audio/video," 1,550,440 ",113.9
2020-2,California,2020,5,Other telehealth," 17,042 ",1.3
2020-2,California,2020,5,Store and forward," 10,522 ",0.8
2020-2,California,2020,6,Live audio/video," 1,457,599 ",106.3
2020-2,California,2020,6,Other telehealth," 12,042 ",0.9
2020-2,California,2020,6,Store and forward," 10,936 ",0.8
2020-3,California,2020,7,Live audio/video," 1,518,773 ",109.9
2020-3,California,2020,7,Other telehealth," 11,921 ",0.9
2020-3,California,2020,7,Store and forward," 12,375 ",0.9
2020-3,California,2020,8,Live audio/video," 1,450,649 ",104.3
2020-3,California,2020,8,Other telehealth," 9,452 ",0.7
2020-3,California,2020,8,Store and forward," 12,992 ",0.9
2020-3,California,2020,9,Live audio/video," 1,594,562 ",114.1
2020-3,California,2020,9,Other telehealth," 14,246 ",1.0
2020-3,California,2020,9,Store and forward," 13,855 ",1.0
2020-4,California,2020,10,Live audio/video," 1,551,022 ",110.3
2020-4,California,2020,10,Other telehealth," 16,884 ",1.2
2020-4,California,2020,10,Store and forward," 13,759 ",1.0
2020-4,California,2020,11,Live audio/video," 1,402,241 ",99.4
2020-4,California,2020,11,Other telehealth," 6,684 ",0.5
2020-4,California,2020,11,Store and forward," 13,252 ",0.9
2020-4,California,2020,12,Live audio/video," 1,722,567 ",121.2
2020-4,California,2020,12,Other telehealth," 9,195 ",0.6
2020-4,California,2020,12,Store and forward," 16,789 ",1.2
2021-1,California,2021,1,Live audio/video," 1,843,032 ",128.7
2021-1,California,2021,1,Other telehealth," 17,931 ",1.3
2021-1,California,2021,1,Store and forward," 16,513 ",1.2
2021-1,California,2021,2,Live audio/video," 1,639,412 ",114.2
2021-1,California,2021,2,Other telehealth," 27,188 ",1.9
2021-1,California,2021,2,Store and forward," 15,763 ",1.1
2021-1,California,2021,3,Live audio/video," 1,794,716 ",124.2
2021-1,California,2021,3,Other telehealth," 7,290 ",0.5
2021-1,California,2021,3,Store and forward," 17,012 ",1.2
2021-2,California,2021,4,Live audio/video," 1,589,578 ",109.3
2021-2,California,2021,4,Store and forward," 14,901 ",1.0
2021-2,California,2021,5,Live audio/video," 1,366,511 ",93.5
2021-2,California,2021,5,Store and forward," 13,853 ",0.9
2021-2,California,2021,6,Live audio/video," 1,272,749 ",86.7
2021-2,California,2021,6,Store and forward," 13,852 ",0.9
2021-3,California,2021,7,Live audio/video," 1,192,566 ",80.8
2021-3,California,2021,7,Store and forward," 13,550 ",0.9
2021-3,California,2021,8,Live audio/video," 1,306,346 ",88.0
2021-3,California,2021,8,Other telehealth," 6,916 ",0.5
2021-3,California,2021,8,Store and forward," 14,414 ",1.0
2021-3,California,2021,9,Live audio/video," 1,278,675 ",85.7
2021-3,California,2021,9,Other telehealth," 7,606 ",0.5
2021-3,California,2021,9,Remote patient monitoring," 6,784 ",0.5
2021-3,California,2021,9,Store and forward," 15,339 ",1.0
2021-4,California,2021,10,Live audio/video," 1,192,094 ",79.6
2021-4,California,2021,10,Other telehealth," 6,923 ",0.5
2021-4,California,2021,10,Remote patient monitoring," 6,895 ",0.5
2021-4,California,2021,10,Store and forward," 14,489 ",1.0
2021-4,California,2021,11,Live audio/video," 1,164,021 ",77.2
2021-4,California,2021,11,Store and forward," 14,179 ",0.9
2021-4,California,2021,12,Live audio/video," 1,137,689 ",75.1
2021-4,California,2021,12,Other telehealth," 7,913 ",0.5
2021-4,California,2021,12,Store and forward," 13,932 ",0.9
2022-1,California,2022,1,Live audio/video," 1,519,317 ",99.2
2022-1,California,2022,1,Other telehealth," 14,140 ",0.9
2022-1,California,2022,1,Remote patient monitoring," 6,936 ",0.5
2022-1,California,2022,1,Store and forward," 69,497 ",4.5
2022-1,California,2022,2,Live audio/video," 1,258,407 ",82.2
2022-1,California,2022,2,Other telehealth," 7,438 ",0.5
2022-1,California,2022,2,Store and forward," 69,487 ",4.5
2022-1,California,2022,3,Live audio/video," 1,367,115 ",88.8
2022-1,California,2022,3,Other telehealth," 7,529 ",0.5
2022-1,California,2022,3,Remote patient monitoring," 8,217 ",0.5
2022-1,California,2022,3,Store and forward," 84,734 ",5.5
2022-2,California,2022,4,Live audio/video," 1,171,816 ",75.9
2022-2,California,2022,4,Other telehealth," 7,157 ",0.5
2022-2,California,2022,4,Remote patient monitoring," 7,949 ",0.5
2022-2,California,2022,4,Store and forward," 83,606 ",5.4
2022-2,California,2022,5,Live audio/video," 1,175,293 ",75.8
2022-2,California,2022,5,Remote patient monitoring," 8,227 ",0.5
2022-2,California,2022,5,Store and forward," 86,821 ",5.6
2022-2,California,2022,6,Live audio/video," 1,160,481 ",74.4
2022-2,California,2022,6,Other telehealth," 8,038 ",0.5
2022-2,California,2022,6,Remote patient monitoring," 8,320 ",0.5
2022-2,California,2022,6,Store and forward," 90,587 ",5.8
2022-3,California,2022,7,Live audio/video," 1,035,225 ",66.0
2022-3,California,2022,7,Other telehealth," 7,077 ",0.5
2022-3,California,2022,7,Remote patient monitoring," 9,715 ",0.6
2022-3,California,2022,7,Store and forward," 82,631 ",5.3
2022-3,California,2022,8,Live audio/video," 1,185,156 ",75.0
2022-3,California,2022,8,Other telehealth," 7,523 ",0.5
2022-3,California,2022,8,Remote patient monitoring," 10,396 ",0.7
2022-3,California,2022,8,Store and forward," 95,241 ",6.0
2022-3,California,2022,9,Live audio/video," 1,081,909 ",68.2
2022-3,California,2022,9,Other telehealth," 7,240 ",0.5
2022-3,California,2022,9,Remote patient monitoring," 11,030 ",0.7
2022-3,California,2022,9,Store and forward," 89,648 ",5.6
2022-4,California,2022,10,Live audio/video," 1,061,681 ",66.6
2022-4,California,2022,10,Other telehealth," 10,302 ",0.6
2022-4,California,2022,10,Remote patient monitoring," 10,677 ",0.7
2022-4,California,2022,10,Store and forward," 89,973 ",5.6
2022-4,California,2022,11,Live audio/video," 1,078,126 ",67.3
2022-4,California,2022,11,Other telehealth," 11,803 ",0.7
2022-4,California,2022,11,Remote patient monitoring," 11,491 ",0.7
2022-4,California,2022,11,Store and forward," 85,436 ",5.3
2022-4,California,2022,12,Live audio/video," 1,058,907 ",65.6
2022-4,California,2022,12,Other telehealth," 12,501 ",0.8
2022-4,California,2022,12,Remote patient monitoring," 11,431 ",0.7
2022-4,California,2022,12,Store and forward," 82,274 ",5.1
2018-3,Colorado,2018,8,Live audio/video," 1,226 ",0.9
2018-3,Colorado,2018,9,Live audio/video," 1,073 ",0.8
2018-4,Colorado,2018,10,Live audio/video," 1,117 ",0.8
2018-4,Colorado,2018,11,Live audio/video," 1,282 ",0.9
2018-4,Colorado,2018,12,Live audio/video," 1,252 ",0.9
2019-1,Colorado,2019,1,Live audio/video," 1,730 ",1.3
2019-1,Colorado,2019,2,Live audio/video," 1,696 ",1.3
2019-1,Colorado,2019,3,Live audio/video," 1,789 ",1.3
2019-2,Colorado,2019,4,Live audio/video," 2,060 ",1.5
2019-2,Colorado,2019,5,Live audio/video," 1,925 ",1.4
2019-2,Colorado,2019,6,Live audio/video," 2,058 ",1.5
2019-3,Colorado,2019,7,Live audio/video," 2,667 ",2.0
2019-3,Colorado,2019,8,Live audio/video," 2,937 ",2.2
2019-3,Colorado,2019,9,Live audio/video," 3,233 ",2.4
2019-4,Colorado,2019,10,Live audio/video," 3,433 ",2.6
2019-4,Colorado,2019,11,Live audio/video," 3,414 ",2.6
2019-4,Colorado,2019,12,Live audio/video," 3,416 ",2.6
2020-1,Colorado,2020,1,Live audio/video," 3,787 ",2.9
2020-1,Colorado,2020,2,Live audio/video," 3,943 ",3.0
2020-1,Colorado,2020,3,Live audio/video," 79,574 ",61.2
2020-2,Colorado,2020,4,Live audio/video," 246,065 ",183.9
2020-2,Colorado,2020,4,Store and forward," 1,008 ",0.8
2020-2,Colorado,2020,5,Live audio/video," 210,122 ",154.8
2020-2,Colorado,2020,6,Live audio/video," 195,985 ",142.1
2020-3,Colorado,2020,7,Live audio/video," 173,656 ",124.1
2020-3,Colorado,2020,8,Live audio/video," 159,697 ",112.4
2020-3,Colorado,2020,9,Live audio/video," 154,347 ",107.2
2020-4,Colorado,2020,10,Live audio/video," 161,749 ",110.9
2020-4,Colorado,2020,11,Live audio/video," 179,767 ",121.8
2020-4,Colorado,2020,12,Live audio/video," 204,722 ",137.0
2020-4,Colorado,2020,12,Store and forward, 700 ,0.5
2021-1,Colorado,2021,1,Live audio/video," 179,821 ",119.0
2021-1,Colorado,2021,1,Store and forward, 719 ,0.5
